,Area_of_Origin,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Ext_agent_app_or_defer_time,Extent_Of_Fire,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Under_Control_Time,Ignition_Source,Incident_Station_Area,Incident_Ward,Last_TFS_Unit_Clear_Time,lat,long,Material_First_Ignited,Method_Of_Fire_Control,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Alarm_System_Presence_(Refactored)
731,Cooking Area or Kitchen,Not applicable (not a business),0,0,5000,9,2018-08-05T16:56:14,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-08-05T16:56:14,"Stove, Range-top burner",231,24.0,2018-08-05T17:08:43,43.75235544,-79.23205228,"Cooking Oil, Grease",Extinguished by occupant,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-08-05T16:49:56,2018-08-05T16:56:13,Not applicable
732,Exterior Wall,Not applicable (not a business),0,0,100000,1,2018-08-08T01:26:15,Confined to roof/exterior structure,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-08-08T01:31:47,Undetermined,226,19.0,2018-08-08T15:17:25,43.6786668,-79.30746331,Exterior Cladding,Extinguished by fire department,Undetermined,Detached Dwelling,Other reason,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-08-08T01:18:31,2018-08-08T01:23:54,No System
733,"Hallway, Corridor",Not applicable (not a business),0,0,0,0,2018-08-09T09:29:00,Confined to object of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-08-09T09:28:00,Matches or Lighters (unable to distinguish),411,7.0,2018-08-09T09:37:18,43.7337468,-79.53822885,"Paper, Cardboard",Fire self extinguished,Suspected Vandalism,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-08-09T09:19:09,2018-08-09T09:24:51,Present
734,Cooking Area or Kitchen,No business interruption,0,0,500,0,2018-08-10T13:41:00,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-08-10T13:42:00,"Stove, Range-top burner",312,11.0,2018-08-10T14:25:56,43.67124835,-79.39072628,Plastic,Extinguished by occupant,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Reason for inoperation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-08-10T13:37:11,2018-08-10T13:40:35,Present
735,"Hallway, Corridor",Not applicable (not a business),0,0,100000,0,2018-08-14T16:43:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-08-14T16:44:17,"Distribution Equipment (includes panel boards, fuses, circuit br",146,7.0,2018-08-14T20:04:03,43.72477238,-79.51042617,Other Building Component,Extinguished by fire department,Design/Construction/Installation/Maintenance Deficiency,Theatre - Motion Picture,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2018-08-14T16:29:01,2018-08-14T16:33:10,No System
736,Cooking Area or Kitchen,Not applicable (not a business),0,0,7500,0,2018-08-14T18:19:40,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-08-14T18:26:00,"Stove, Range-top burner",345,9.0,2018-08-14T18:54:29,43.66672551,-79.44646141,Cabinetry,Extinguished by occupant,Unattended,Multi-Unit Dwelling - Over 12 Units,Tampered with (vandalism),Hardwired (standalone),Fire extinguished prior to arrival,2018-08-14T18:07:22,2018-08-14T18:11:16,Present
737,Concealed Wall Area,Not applicable (not a business),0,0,50000,997,2018-08-15T15:12:06,"Spread beyond building of origin, resulted in exposure fire(s)",Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-08-15T16:00:00,"Blow Torch, Bunsen Burner",315,11.0,2018-08-15T19:51:03,43.6574586,-79.40282681,Structural Member,Extinguished by fire department,Other misuse of ignition source/material ignited,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",Remote from fire – smoke did not reach alarm,Type undetermined,Unclassified,2018-08-15T15:04:08,2018-08-15T15:06:50,No System
738,"Lobby, Entranceway",Not applicable (not a business),0,0,200,0,2018-08-16T00:36:00,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Fire alarm system operated,2018-08-16T00:35:00,Candle,315,11.0,2018-08-16T01:23:27,43.65521313,-79.41387838,Plastic,Extinguished by fire department,Improperly Discarded,"Church, Other Similar Place of Worship",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2018-08-16T00:23:00,2018-08-16T00:27:32,Present
739,Garage,Not applicable (not a business),0,0,15000,1,2018-08-17T05:59:00,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-08-17T06:04:00,Undetermined,114,18.0,2018-08-17T14:32:30,43.76886724,-79.41907363,Undetermined (formerly 98),Extinguished by fire department,"Unintentional, cause undetermined",Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-08-17T05:45:06,2018-08-17T05:53:08,Not applicable
740,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),0,0,500,0,2018-08-17T19:24:50,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-08-17T19:24:50,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",411,7.0,2018-08-17T19:56:16,43.7337468,-79.53822885,"Books, Magazines, Newspapers",Extinguished by occupant,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Remote from fire – smoke did not reach alarm,Hardwired (standalone),Fire extinguished prior to arrival,2018-08-17T19:14:09,2018-08-17T19:19:56,Present
741,Mechanical/Electrical Services Room,No business interruption,0,0,10000,0,2018-08-18T07:15:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-08-18T08:20:09,"Distribution Equipment (includes panel boards, fuses, circuit br",122,18.0,2018-08-18T08:27:14,43.76364399,-79.39353262,Other Building Component,Action taken unclassified,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2018-08-18T06:47:46,2018-08-18T06:53:36,Present
742,Roof,Not applicable (not a business),0,0,1000,0,2018-08-18T10:14:58,Confined to roof/exterior structure,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-08-18T10:14:58,"Blow Torch, Bunsen Burner",345,9.0,2018-08-18T10:31:01,43.66997221,-79.43681399,Exterior Roof Covering,Extinguished by occupant,Improper handling of ignition source or ignited material,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-08-18T10:02:04,2018-08-18T10:06:01,Not applicable
743,Roof,May resume operations within a month,0,0,10000,0,2018-08-18T15:08:00,Confined to object of origin,Undetermined,Fire alarm system did not operate,2018-08-18T15:11:00,"Blow Torch, Bunsen Burner",444,2.0,2018-08-18T17:19:45,43.65377086,-79.57596909,Exterior Roof Covering,Extinguished by fire department,Design/Construction/Installation/Maintenance Deficiency,School - Elementary,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-08-18T14:53:55,2018-08-18T15:00:12,Undetermined
744,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),0,0,20000,5,2018-08-18T18:18:22,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-08-18T18:22:26,Other Appliances,143,6.0,2018-08-18T19:55:49,43.74936175,-79.44388749,Other,Extinguished by fire department,Electrical Failure,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Fire with smoke showing only - including vehicle, outdoor fires",2018-08-18T18:07:54,2018-08-18T18:12:20,Present
745,Mechanical/Electrical Services Room,May not resume operations,0,0,100000,50,2018-08-18T18:30:00,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2018-08-18T18:29:00,Transformer,441,1.0,2018-08-18T22:30:48,43.69078723,-79.58731169,Undetermined (formerly 98),Extinguished by automatic system,Electrical Failure,"Hotel, Motel, Lodging - 4 or more guests or suites",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-08-18T18:23:52,2018-08-18T18:28:48,Present
746,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,0,1000,0,2018-08-30T11:03:58,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-08-30T11:00:15,Candle,233,21.0,2018-08-30T11:23:32,43.75282036,-79.31020153,"Fabric - Synthetic, Combination",Extinguished by occupant,Used or Placed too close to combustibles,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire extinguished prior to arrival,2018-08-30T10:54:44,2018-08-30T11:00:15,Not applicable
747,Cooking Area or Kitchen,Not applicable (not a business),0,0,150000,1,2018-08-30T15:44:20,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,2018-08-30T15:52:47,"Stove, Range-top burner",213,24.0,2018-08-30T21:48:59,43.78991279,-79.21744949,Cabinetry,Extinguished by fire department,Unattended,Detached Dwelling,Other reason,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-08-30T15:33:25,2018-08-30T15:38:23,Undetermined
748,Cooking Area or Kitchen,Not applicable (not a business),0,0,4000,0,2018-08-30T17:55:06,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-08-30T17:55:37,Oven,224,19.0,2018-08-30T18:38:16,43.69127918,-79.3178429,Plastic,Extinguished by fire department,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-08-30T17:46:35,2018-08-30T17:50:35,Present
749,Cooking Area or Kitchen,Not applicable (not a business),0,0,0,4,2018-08-30T18:18:22,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-08-30T19:00:00,"Stove, Range-top burner",113,17.0,2018-08-30T20:08:34,43.78701495,-79.35696555,"Cooking Oil, Grease",Extinguished by fire department,Unattended,Semi-Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-08-30T18:10:34,2018-08-30T18:15:09,Not applicable
750,Cooking Area or Kitchen,Not applicable (not a business),1,0,35000,0,2018-08-31T11:25:11,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-08-31T11:25:11,"Stove, Range-top burner",224,19.0,2018-08-31T12:51:56,43.70593478,-79.2970822,Cabinetry,Extinguished by occupant,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-08-31T11:13:04,2018-08-31T11:18:13,Present
751,Cooking Area or Kitchen,Not applicable (not a business),0,0,5000,0,2018-09-02T22:50:09,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-02T22:51:42,"Stove, Range-top burner",334,10.0,2018-09-02T23:41:49,43.63675942,-79.40239469,"Paper, Cardboard",Extinguished by fire department,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2018-09-02T22:37:58,2018-09-02T22:44:51,Present
752,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,500,0,2018-09-03T02:48:00,Confined to part of room/area of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-03T03:15:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",325,13.0,2018-09-03T03:33:53,43.6582947,-79.37103207,"Rubbish, Trash, Waste",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Unclassified,2018-09-03T02:39:14,2018-09-03T02:43:40,Present
753,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,0,25000,8,2018-09-04T19:13:32,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-09-04T19:15:01,Candle,132,8.0,2018-09-05T01:53:08,43.72609932,-79.43996371,"Other Soft Goods, Wearing Apparel",Extinguished by fire department,Unattended,Detached Dwelling,No battery,Battery operated,Fire with no evidence from street,2018-09-04T19:05:45,2018-09-04T19:10:57,No System
754,Cooking Area or Kitchen,Not applicable (not a business),1,0,25000,1,2018-09-04T11:35:49,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-04T11:37:49,"Stove, Range-top burner",224,19.0,2018-09-04T12:35:35,43.68947837,-79.31240895,"Cooking Oil, Grease",Fire self extinguished,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire extinguished prior to arrival,2018-09-04T11:26:08,2018-09-04T11:31:14,Present
755,Other Building Services/Support Facilities,Not applicable (not a business),0,0,0,0,2018-09-04T17:12:25,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-04T17:15:18,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",333,10.0,2018-09-04T18:38:34,43.64932942,-79.36611344,Undetermined (formerly 98),Extinguished by fire department,Other misuse of ignition source/material ignited,Multi-Unit Dwelling - Over 12 Units,Other reason,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-09-04T16:40:55,2018-09-04T16:44:09,Present
756,"Parking Area, Parking Lot",No business interruption,0,0,10000,0,2018-09-04T17:34:03,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-04T17:37:01,Vehicle - Electrical,222,16.0,2018-09-04T17:58:15,43.72308562,-79.30308602,Vehicle,Extinguished by fire department,"Other unintentional cause, not classified",Mall - public area common to multi store facility,No battery,Not applicable - no smoke alarm or presence undetermined,"Fully involved (total structure, vehicle, spreading outdoor fire)",2018-09-04T17:30:00,2018-09-04T17:31:44,No System
757,"Washroom or Bathroom (toilet,restroom/locker room)",Not applicable (not a business),0,0,15000,5,2018-09-08T01:18:12,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-09-08T02:02:07,Circuit Wiring - Copper,411,7.0,2018-09-08T02:39:54,43.74812806,-79.55740178,Interior Wall/Ceiling,Extinguished by fire department,Electrical Failure,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",Remote from fire – smoke did not reach alarm,Hardwired (standalone),Fire with no evidence from street,2018-09-08T00:57:30,2018-09-08T01:04:19,Not applicable
758,Storage Area (outside),Not applicable (not a business),0,0,20000,0,2018-09-08T03:25:55,"Spread beyond building of origin, resulted in exposure fire(s)","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-08T03:38:39,Undetermined,222,20.0,2018-09-08T04:15:32,43.71269712,-79.29215029,Undetermined (formerly 98),Extinguished by fire department,"Unintentional, cause undetermined",Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-09-08T03:15:02,2018-09-08T03:21:12,No System
759,Roof,No business interruption,0,0,250000,6,2018-09-08T07:20:00,Confined to roof/exterior structure,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-08T07:29:55,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",426,10.0,2018-09-08T09:01:56,43.63922887,-79.42605056,Exterior Roof Covering,Extinguished by fire department,Improperly Discarded,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",Remote from fire – smoke did not reach alarm,Interconnected,"Flames showing from large area (more than one storey, large area outdoors)",2018-09-08T07:11:19,2018-09-08T07:15:34,No System
760,Laundry Area,Not applicable (not a business),0,0,2500,0,2018-09-08T13:36:25,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-08T13:34:45,Clothes Dryer,142,7.0,2018-09-08T14:51:27,43.75901593,-79.517775,Other,Extinguished by fire department,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire with no evidence from street,2018-09-08T13:26:14,2018-09-08T13:30:49,Present
761,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,500,0,2018-09-08T18:46:17,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2018-09-08T18:46:14,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",121,8.0,2018-09-08T18:57:36,43.73937488,-79.42386749,Exterior Cladding,Extinguished by occupant,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire extinguished prior to arrival,2018-09-08T18:39:26,2018-09-08T18:45:19,Present
762,"Process Manufacturing (inc manf, prod assembly, repair)",No business interruption,0,0,25000,0,2018-09-12T19:19:10,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-12T19:39:55,"Heat Treatment Equipment (eg. furnace, oven, kiln, quench tanks,",412,1.0,2018-09-12T20:41:18,43.75044374,-79.62391184,Wood,Extinguished by fire department,Improper Storage,"Mfg: Secondary Metal Processing (eg rolling, drawing, polishing)",Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-09-12T19:10:08,2018-09-12T19:14:37,Present
763,Exterior Wall,May resume operations within a week,0,0,150000,5,2018-09-12T19:39:20,Confined to roof/exterior structure,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-09-12T19:44:22,Undetermined,426,4.0,2018-09-12T21:34:58,43.65263186,-79.44920862,Other Building Component,Extinguished by fire department,Undetermined,"Apartment, Flat, Tenement with Business",Reason for inoperation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-09-12T19:20:10,2018-09-12T19:24:36,Present
764,Other Storage Area,May resume operations within a week,0,0,2500,0,2018-09-13T04:16:00,Confined to part of room/area of origin,Undetermined,Fire alarm system operated,2018-09-13T04:18:09,Other,315,11.0,2018-09-13T05:08:18,43.65674908,-79.39959146,"Fabric - Natural (eg. cotton, wool, etc.)",Extinguished by fire department,Undetermined,"Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2018-09-13T03:58:04,2018-09-13T04:03:21,Present
765,Roof,No business interruption,0,0,1000,0,2018-09-13T10:06:00,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2018-09-13T10:15:00,"Blow Torch, Bunsen Burner",321,15.0,2018-09-13T10:42:22,43.70426955,-79.37461527,Insulation,Extinguished by fire department,"Unintentional, cause undetermined","Restaurants (occupant load greater than 30 persons, licensed)",Remote from fire – smoke did not reach alarm,Type undetermined,Fire with no evidence from street,2018-09-13T09:47:01,2018-09-13T09:55:35,Undetermined
766,Mechanical/Electrical Services Room,May resume operations within a week,0,0,15000,0,2018-09-13T13:40:40,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-13T13:40:32,Service/Utility Lines (includes power/hydro transmission lines),332,10.0,2018-09-13T14:56:02,43.64961473,-79.38213095,Electrical Wiring Insulation,Fire self extinguished,Electrical Failure,General Business Office,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-09-13T13:31:16,2018-09-13T13:35:32,Present
767,Cooking Area or Kitchen,Not applicable (not a business),0,0,10000,2,2018-09-15T16:38:10,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-09-15T16:48:36,"Stove, Range-top burner",115,17.0,2018-09-15T17:38:45,43.77318615,-79.34120757,Other,Fire self extinguished,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire extinguished prior to arrival,2018-09-15T16:31:04,2018-09-15T16:34:19,Present
768,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,50,0,2018-09-15T19:43:51,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-09-15T19:41:57,Undetermined,133,8.0,2018-09-15T20:08:58,43.70742439,-79.46559764,Undetermined (formerly 98),Extinguished by occupant,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire extinguished prior to arrival,2018-09-15T19:37:04,2018-09-15T19:41:57,Present
769,Basement/cellar (not partitioned),Not applicable (not a business),0,0,300000,3,2018-09-16T03:03:20,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-09-16T03:14:37,Clothes Dryer,326,14.0,2018-09-16T04:58:06,43.66052941,-79.34250606,Interior Wall/Ceiling,Extinguished by fire department,Undetermined,Detached Dwelling,Unit failure,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-09-16T02:36:05,2018-09-16T02:41:12,No System
770,Cooking Area or Kitchen,No business interruption,0,0,40000,4,2018-09-17T11:17:52,Confined to part of room/area of origin,Undetermined,Fire alarm system operated,2018-09-17T11:18:37,"Stove, Range-top burner",141,7.0,2018-09-17T14:50:53,43.77604465,-79.5005255,Cabinetry,Extinguished by fire department,Improper Storage,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2018-09-17T11:08:20,2018-09-17T11:14:01,Present
771,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",Not applicable (not a business),0,0,0,0,2018-09-17T12:57:00,Confined to part of room/area of origin,Undetermined,Fire alarm system operated,2018-09-17T13:20:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",313,13.0,2018-09-17T13:34:06,43.66628531,-79.37834705,"Rubbish, Trash, Waste",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Unclassified,2018-09-17T12:45:03,2018-09-17T12:49:24,Present
772,"Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",Undetermined,0,0,20000,37,2018-09-19T08:40:31,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-19T08:40:55,Other Appliances,213,24.0,2018-09-19T17:17:40,43.78374446,-79.20548625,Multiple Objects or Materials,Extinguished by fire department,Mechanical Failure,Public/Private Hospital,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2018-09-19T08:27:31,2018-09-19T08:34:21,Present
773,Roof,No business interruption,0,0,1000,0,2018-09-20T03:00:00,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-20T03:10:00,Undetermined,321,15.0,2018-09-20T04:42:13,43.70854987,-79.36279428,Other Building Component,Extinguished by fire department,Undetermined,Other Industrial,Reason for inoperation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from large area (more than one storey, large area outdoors)",2018-09-20T02:47:55,2018-09-20T02:52:07,No System
774,Basement/cellar (not partitioned),No business interruption,0,0,0,0,2018-09-19T11:27:00,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-19T11:29:24,Other,135,12.0,2018-09-19T11:54:39,43.70186355,-79.41254476,Natural Gas,Extinguished by fire department,"Other unintentional cause, not classified",Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-09-19T11:22:27,2018-09-19T11:26:22,Not applicable
775,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,0,0,2018-09-19T15:45:32,Confined to object of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-19T15:52:42,Matches or Lighters (unable to distinguish),325,13.0,2018-09-19T16:13:33,43.6582947,-79.37103207,"Rubbish, Trash, Waste",Extinguished by fire department,Suspected Vandalism,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-09-19T15:33:05,2018-09-19T15:35:35,Present
776,Cooking Area or Kitchen,Not applicable (not a business),0,0,500,2,2018-09-19T19:38:00,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-19T19:38:57,"Stove, Range-top burner",331,10.0,2018-09-19T21:06:23,43.64392631,-79.40270554,"Cooking Oil, Grease",Extinguished by automatic system,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-09-19T19:31:51,2018-09-19T19:36:43,Present
777,Other Outside Area,No business interruption,0,0,500,0,2018-09-22T05:50:00,Confined to part of room/area of origin,Undetermined,Fire alarm system operation undetermined,2018-09-22T05:52:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",324,14.0,2018-09-22T05:56:35,43.66246733,-79.35136106,Other,Extinguished by fire department,Used for purpose not intended,Other Business or Personal Services,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-09-22T05:43:29,2018-09-22T05:49:36,Undetermined
778,Attached Deck,No business interruption,0,0,100000,2,2018-09-22T17:33:02,"Spread beyond room of origin, same floor","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-22T17:57:16,Undetermined,326,14.0,2018-09-23T00:35:01,43.66358784,-79.32057558,Undetermined (formerly 98),Extinguished by fire department,Undetermined,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-09-22T17:23:26,2018-09-22T17:26:53,No System
779,Engine Area,No business interruption,0,0,30000,0,2018-09-23T00:01:32,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-23T00:04:59,Vehicle - Mechanical,411,7.0,2018-09-23T01:11:10,43.74918032,-79.53239844,Vehicle,Extinguished by fire department,Mechanical Failure,Garage:  General Auto Parking - Structure,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-09-22T23:41:13,2018-09-22T23:47:23,No System
